Таблица с 200 наиболее употребляемыми словами для сайта 1000menu
+-------------+-----+
|        value|count|
|      ёмкость|  160|
|        цедра|  157|
|        снять|  157|
|         сито|  154|
|      ставить|  152|
|       сверху|  150|
|приготовление|  150|
|       имбирь|  150|
|       сливка|  148|
|         квас|  148|
|    тщательно|  147|
|        смузи|  146|
|        часть|  145|
| перемешивать|  145|
|       тёплый|  144|
|  приготовить|  144|
|     клубника|  143|
|   ингредиент|  143|
|       остыть|  140|
|         чаша|  140|
|        такой|  139|
|     холодный|  139|
|       кожура|  138|
|         пока|  137|
|       каждый|  135|
|     половина|  134|
|        нужно|  133|
|  температура|  132|
|   измельчить|  132|
|         мочь|  132|
| наслаждаться|  127|
|    разливать|  127|
|     остаться|  127|
|    несколько|  126|
|        марля|  126|
|       делать|  125|
|        кубик|  125|
|         мина|  125|
|      горячее|  124|
|        сразу|  124|
|          час|  123|
|         пена|  122|
|       мелкий|  122|
|   однородный|  121|
|          наш|  121|
|      желание|  120|
|         мята|  120|
|     наливать|  120|
| использовать|  120|
|     остудить|  118|
|     выложить|  117|
|     кипятить|  116|
|   помешивать|  116|
|        потом|  115|
|     косточка|  114|
|         пюре|  114|
|       компот|  114|
|          год|  113|
|         пара|  112|
|       тёмный|  112|
|     сахарный|  112|
|     посыпать|  112|
|     перелить|  111|
|       помощь|  111|
|       давать|  110|
|     доводить|  110|
|       вымыть|  110|
|       выжать|  109|
|       неделя|  108|
|      накрыть|  108|
|      промыть|  108|
| апельсиновый|  106|
|       вместе|  106|
|     получить|  105|
|         лайм|  105|
|      должный|  104|
|      сложить|  104|
|     засыпать|  102|
|       аромат|  101|
|    мороженое|  101|
|         туда|  101|
|       класть|  101|
|      сделать|  100|
|     примерно|  100|
|        вишня|  100|
|       помыть|   99|
|       вылить|   98|
|       мякоть|   98|
|         часы|   97|
|    размешать|   97|
|    оставлять|   97|
|        самый|   97|
|     полезный|   96|
|         надо|   96|
|   количество|   96|
|          уже|   95|
|      горячий|   95|
|    поместить|   94|
|        какао|   94|
|     готовить|   93|
|    разрезать|   93|
|        брать|   92|
|       дрожжи|   92|
+-------------+-----+





Таблица с 200 наиболее употребляемыми словами для сайта namenu
